Country,C02 Emissions,Child Mortality,Life Expectancy,Income,Population,Birth Rate
Afghanistan,0.254,62.3,62.7,2030,37200000,4.33
Albania,1.59,8.82,78.4,13300,2880000,1.71
Algeria,3.69,23.5,76,11600,42200000,2.64
Andorra,6.12,2.89,82.1,58300,77000,5.55
Angola,1.12,77.2,64.6,6930,30800000,2.03
Antigua and Barbuda,5.88,6.44,76.2,21000,96300,2.26
Argentina,4.41,9.94,76.5,22700,44400000,1.6
Armenia,1.89,12.4,75.6,12700,2950000,1.8
Australia,16.9,3.69,82.9,49000,24900000,1.83
Austria,7.75,3.52,82.1,55300,8890000,1.52
Azerbaijan,3.7,21.5,70.8,14200,9950000,2.04
Bahamas,4.7,10.2,73.8,36500,386000,1.75
Bahrain,19.8,7.09,77,46400,1570000,1.99
Bangladesh,0.531,30.2,74.2,4440,161000000,2.05
Barbados,4.48,12.2,76.5,15700,287000,1.8
Belarus,6.93,3.42,74,19000,9450000,1.72
Belgium,8.69,3.65,81.4,51100,11500000,1.8
Belize,1.5,13,74.4,7260,383000,2.44
Benin,0.623,93,64,3160,11500000,4.84
Bhutan,1.61,29.7,73,11300,754000,1.99
Bolivia,1.96,26.8,71.8,8660,11400000,2.8
Bosnia and Herzegovina,6.53,5.81,76.9,14400,3320000,1.39
Botswana,2.96,36.5,61.8,16200,2250000,2.64
Brazil,2.18,14.3,75.7,14700,209000000,1.7
Brunei,18.5,11.6,74.2,60400,429000,1.85
Bulgaria,6.32,7.06,73.3,22200,7050000,1.59
Burkina Faso,0.198,76.4,61.3,2120,19800000,5.19
Burundi,0.0467,58.5,63.4,762,11200000,5.53
Cambodia,0.64,28,69.7,4160,16200000,2.5
Cameroon,0.323,76.1,62.6,3710,25200000,4.57
Canada,15.3,4.97,82.2,49000,37100000,1.56
Cape Verde,1.16,19.5,73.5,6860,544000,2.27
Central African Republic,0.0651,116,51.5,933,4670000,4.72
Chad,0.0656,119,59.9,1580,15500000,5.75
Chile,4.59,7.19,80.1,25000,18700000,1.76
China,7.06,8.6,77.4,15100,1430000000,1.64
Colombia,1.96,14.2,80.1,14300,49700000,1.82
Comoros,0.263,67.5,68.5,3070,832000,4.2
"Congo, Dem. Rep.",0.0243,88.1,64.7,1090,84100000,5.92
"Congo, Rep.",0.617,50.1,65,3930,5240000,4.54
Costa Rica,1.61,8.79,80,20700,5000000,1.75
Cote d'Ivoire,0.335,80.9,63.6,4850,25100000,4.78
Croatia,4.48,4.67,78.6,28200,4160000,1.45
Cuba,2.53,4.98,78.3,9680,11300000,1.72
Cyprus,6.3,2.38,80.8,40000,1190000,1.34
Czech Republic,9.94,3.37,79.3,39900,10700000,1.57
Denmark,6.06,4.22,81.1,56200,5750000,1.76
Djibouti,0.672,59.3,66.7,5210,959000,2.73
Dominica,2.55,35.7,72.3,11500,71600,
Dominican Republic,2.34,28.9,72.9,17700,10600000,2.36
Ecuador,2.46,14.2,76.2,11600,17100000,2.43
Egypt,2.43,21.2,70.7,11400,98400000,3.15
El Salvador,1.11,13.7,75.6,8620,6420000,2.04
Equatorial Guinea,4.35,85.3,65.8,20400,1310000,4.51
Eritrea,0.215,41.9,63.4,1560,3450000,3.99
Estonia,14.8,2.65,77.9,35100,1320000,1.66
Eswatini,1.06,54.4,57.8,8520,1140000,2.98
Ethiopia,0.137,55.2,68.4,2100,109000000,3.97
Fiji,2.41,25.6,68.3,13800,883000,2.47
Finland,8.52,1.7,81.8,48000,5520000,1.78
France,5.2,4.04,82.9,45300,65000000,1.97
Gabon,2.53,44.8,67.5,14700,2120000,3.66
Gambia,0.268,58.4,66.4,2160,2280000,5.29
Georgia,2.64,9.81,73.3,14300,4000000,1.98
Germany,9.14,3.66,81.2,53500,83100000,1.48
Ghana,0.615,47.9,65.8,5320,29800000,3.87
Greece,7.03,4.45,81,29100,10500000,1.3
Grenada,2.43,15.2,73.2,16800,111000,2.06
Guatemala,1.07,26.2,72.4,8460,17200000,2.87
Guinea,0.256,101,60.6,2500,12400000,4.7
Guinea-Bissau,0.181,81.5,60.3,1900,1870000,4.48
Guyana,3.12,30.1,67.1,12500,779000,2.46
Haiti,0.27,64.8,63.5,3170,11100000,2.82
Honduras,1.04,17.6,71.9,5680,9590000,2.39
"Hong Kong, China",5.86,2.08,84.3,61100,7370000,1.34
Hungary,5.14,4.27,76.3,31100,9710000,1.4
Iceland,10.8,1.96,84,56800,337000,1.91
India,1.96,36.6,70.5,6520,1350000000,2.28
Indonesia,2.3,25,71.1,11400,268000000,2.31
